Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
IN,AN,,,18.0000,ICGST 18%,1,0,0,
IN,AP,,,18.0000,ICGST 18%,1,0,0,
IN,AR,,,18.0000,ICGST 18%,1,0,0,
IN,AS,,,18.0000,ICGST 18%,1,0,0,
IN,BR,,,18.0000,ICGST 18%,1,0,0,
IN,CH,,,18.0000,ICGST 18%,1,0,0,
IN,CT,,,18.0000,ICGST 18%,1,0,0,
IN,DD,,,18.0000,ICGST 18%,1,0,0,
IN,DH,,,18.0000,ICGST 18%,1,0,0,
IN,DL,,,18.0000,ICGST 18%,1,0,0,
IN,DN,,,18.0000,ICGST 18%,1,0,0,
IN,GA,,,18.0000,ICGST 18%,1,0,0,
IN,GJ,,,18.0000,ICGST 18%,1,0,0,
IN,HP,,,18.0000,ICGST 18%,1,0,0,
IN,HR,,,18.0000,ICGST 18%,1,0,0,
IN,JH,,,18.0000,ICGST 18%,1,0,0,
IN,JK,,,18.0000,ICGST 18%,1,0,0,
IN,KA,,,18.0000,ICGST 18%,1,0,0,
IN,KL,,,18.0000,ICGST 18%,1,0,0,
IN,LA,,,18.0000,ICGST 18%,1,0,0,
IN,LD,,,18.0000,ICGST 18%,1,0,0,
IN,LD,,,18.0000,ICGST 18%,1,0,0,
IN,MH,,,18.0000,ICGST 18%,1,0,0,
IN,ML,,,18.0000,ICGST 18%,1,0,0,
IN,MN,,,18.0000,ICGST 18%,1,0,0,
IN,MP,,,18.0000,ICGST 18%,1,0,0,
IN,MZ,,,18.0000,ICGST 18%,1,0,0,
IN,NL,,,18.0000,ICGST 18%,1,0,0,
IN,OD,,,18.0000,ICGST 18%,1,0,0,
IN,PB,,,18.0000,ICGST 18%,1,0,0,
IN,PY,,,18.0000,ICGST 18%,1,0,0,
IN,RJ,,,18.0000,ICGST 18%,1,0,0,
IN,SK,,,18.0000,ICGST 18%,1,0,0,
IN,TG,,,18.0000,ICGST 18%,1,0,0,
IN,TN,,,9.0000,SGST 9%,1,0,0,
IN,TR,,,18.0000,ICGST 18%,1,0,0,
IN,TS,,,18.0000,ICGST 18%,1,0,0,
IN,UK,,,18.0000,ICGST 18%,1,0,0,
IN,UP,,,18.0000,ICGST 18%,1,0,0,
IN,WB,,,18.0000,ICGST 18%,1,0,0,
IN,TN,,,9.0000,CGST 9%,2,0,0,
